Date,Time_s,Temp_C,pH ,pH_mV,Rate_mL_h,Volume_mL,Sample_mass_g,Key,Normality
2019/05/12,0.000000,22.6,8.067,-56.6,1.000000,0.737220,22.600000,20190503_post,0.107000
2019/05/12,19.996541,22.6,8.051,-55.7,0.000000,0.000000,22.600000,20190503_post,0.107000
2019/05/12,50.050544,22.6,7.789,-40.7,5.000000,0.028800,22.600000,20190503_post,0.107000
2019/05/12,75.041455,22.6,7.237,-9.1,5.000000,0.072570,22.600000,20190503_post,0.107000
2019/05/12,90.004887,22.5,6.920,9.2,5.000000,0.103670,22.600000,20190503_post,0.107000
2019/05/12,120.051796,22.5,6.583,28.9,5.000000,0.133620,22.600000,20190503_post,0.107000
2019/05/12,145.026797,22.5,6.399,39.7,5.000000,0.177390,22.600000,20190503_post,0.107000
2019/05/12,165.030294,22.5,6.276,46.9,5.000000,0.206190,22.600000,20190503_post,0.107000
2019/05/12,179.995173,22.5,6.194,51.7,5.000000,0.236140,22.600000,20190503_post,0.107000
2019/05/12,210.055383,22.5,6.026,61.6,5.000000,0.267240,22.600000,20190503_post,0.107000
2019/05/12,235.025020,22.5,5.910,68.4,5.000000,0.312170,22.600000,20190503_post,0.107000
2019/05/12,255.031904,22.5,5.802,74.7,5.000000,0.342120,22.600000,20190503_post,0.107000
2019/05/12,280.059460,22.5,5.662,82.9,5.000000,0.369760,22.600000,20190503_post,0.107000
2019/05/12,300.003029,22.5,5.526,90.9,5.000000,0.414690,22.600000,20190503_post,0.107000
2019/05/12,325.038774,22.5,5.311,103.5,5.000000,0.445790,22.600000,20190503_post,0.107000
2019/05/12,345.029423,22.5,5.106,115.5,5.000000,0.475740,22.600000,20190503_post,0.107000
2019/05/12,360.009564,22.5,4.838,131.2,5.000000,0.503380,22.600000,20190503_post,0.107000
2019/05/12,380.002498,22.5,4.379,158.1,5.000000,0.534490,22.600000,20190503_post,0.107000
2019/05/12,405.028862,22.5,3.927,184.6,1.000000,0.562130,22.600000,20190503_post,0.107000
2019/05/12,435.090810,22.5,3.808,191.6,1.000000,0.569040,22.600000,20190503_post,0.107000
2019/05/12,450.000042,22.5,3.770,193.8,1.000000,0.577110,22.600000,20190503_post,0.107000
2019/05/12,480.059967,22.5,3.700,197.9,1.000000,0.581710,22.600000,20190503_post,0.107000
2019/05/12,505.028979,22.5,3.657,200.4,1.000000,0.589780,22.600000,20190503_post,0.107000
2019/05/12,530.056654,22.5,3.615,202.9,1.000000,0.594380,22.600000,20190503_post,0.107000
