Date,Time_s,Temp_C,pH ,pH_mV,Rate_mL_h,Volume_mL,Sample_mass_g,Key,Normality
12/05/2019,0,21.8,8.017,-53.6,1,0.97797,22.54,20190502_pre,0.107
12/05/2019,55.064589,21.8,7.747,-38.2,0,0,22.54,20190502_pre,0.107
12/05/2019,100.033617,21.7,6.834,14.2,5,0.07372,22.54,20190502_pre,0.107
12/05/2019,155.057895,21.7,6.295,45.7,5,0.14744,22.54,20190502_pre,0.107
12/05/2019,205.077227,21.7,5.972,64.6,5,0.22347,22.54,20190502_pre,0.107
12/05/2019,255.081467,21.8,5.654,83.2,5,0.29834,22.54,20190502_pre,0.107
12/05/2019,300.068795,21.8,5.288,104.6,5,0.37322,22.54,20190502_pre,0.107
12/05/2019,345.033663,21.8,4.508,150.2,5,0.44809,22.54,20190502_pre,0.107
12/05/2019,380.008196,21.8,3.838,189.4,5,0.50799,22.54,20190502_pre,0.107
12/05/2019,425.032666,21.8,3.542,206.7,1,0.56674,22.54,20190502_pre,0.107
12/05/2019,460.004731,21.9,3.487,210,1,0.57941,22.54,20190502_pre,0.107
12/05/2019,505.020235,21.9,3.432,213.2,1,0.58978,22.54,20190502_pre,0.107
12/05/2019,545.018761,21.9,3.386,215.9,1,0.60014,22.54,20190502_pre,0.107
12/05/2019,595.066428,21.9,3.339,218.6,1,0.61051,22.54,20190502_pre,0.107
12/05/2019,635.0189,21.9,3.307,220.5,1,0.62318,22.54,20190502_pre,0.107
12/05/2019,680.049911,22,3.271,222.7,1,0.6347,22.54,20190502_pre,0.107
12/05/2019,735.076639,22,3.228,225.2,1,0.64852,22.54,20190502_pre,0.107
12/05/2019,775.003763,22,3.201,226.8,1,0.66235,22.54,20190502_pre,0.107
12/05/2019,815.025027,22,3.177,228.2,1,0.67271,22.54,20190502_pre,0.107
12/05/2019,865.066322,22.1,3.144,230.2,1,0.68308,22.54,20190502_pre,0.107
12/05/2019,905.005927,22.1,3.123,231.4,1,0.69575,22.54,20190502_pre,0.107
12/05/2019,950.035928,22.1,3.101,232.7,1,0.70727,22.54,20190502_pre,0.107
12/05/2019,1000.036366,22.1,3.075,234.2,1,0.71994,22.54,20190502_pre,0.107
12/05/2019,1045.00957,22.1,3.055,235.4,1,0.73377,22.54,20190502_pre,0.107
12/05/2019,1085.010947,22.1,3.036,236.5,1,0.74528,22.54,20190502_pre,0.107
12/05/2019,1119.987551,22.1,3.019,237.5,1,0.75565,22.54,20190502_pre,0.107
12/05/2019,1165.022816,22.1,3,238.6,1,0.76602,22.54,20190502_pre,0.107
12/05/2019,1205.028491,22.1,2.985,239.5,1,0.77639,22.54,20190502_pre,0.107
