"","Key","Sample_mass_g_mean","Normality_mean","Alk_meq_L_mean","Alk_meq_L_sd"
"1","20190501",23.41,0.107,3.34279346642865,0.000528311391014293
"2","20190502",22.54,0.107,2.306907495832,NA
"3","20190503",22.315,0.107,2.47167336406006,0.0940482788468754
"4","20190514",23.5093,0.107,2.88144525297307,0.0961291183990008
